symbol	status	last_close_price	sma_200	atr_14	rsi_3	3DLow	atr_close_ratio
CLSK	TBO	14.7	8.78	1.9135	25.2	14.61	0.1302
CROX	TBO	123.4	104.62	4.2778	8.68	123.02	0.0347
LNC	TBO	27.86	25.34	0.9187	4.37	27.76	0.033
MC	TBO	51.5	48.97	1.5387	7.69	51.12	0.0299
CSTM	TBO	21.01	18.36	0.5865	5.7	20.96	0.0279
FNF	TBO	47.97	44.15	1.3339	12.62	47.75	0.0278
CMC	TBO	55.16	50.97	1.3367	8.44	55.01	0.0242
MAS	TBO	72.69	62.8	1.5566	7.16	72.39	0.0214
PRMW	TBO	17.43	14.79	0.3302	5.99	17.39	0.0189
ABT	TBO	109.13	105.62	1.9289	26.38	108.49	0.0177
